category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Books And Reference,4.62,115,20M,Free,Everyone,Aug 10 2019,1.0.10,4.0.3 and up,"10,000+"
Game Simulation,4.15,97914,99M,Free,Everyone,Apr 28 2020,2.0.044,4.1 and up,"5,000,000+"
Communication,4.1,2648,34M,Free,Everyone,Apr 22 2020,1.5.9,4.1 and up,"100,000+"
Family,4.0,1763,Varies with device,111.1242,Everyone,Jul 30 2019,3.9.9,4.1 and up,"10,000+"
Entertainment,4.0,1,5.7M,Free,Everyone,Sep 28 2019,4.4.1,4.0.3 and up,100+
Personalization,4.76,1338,100M,111.1242,Everyone,Apr 27 2020,2.2.4,4.0.3 and up,"50,000+"
Productivity,2.9,280,10.0M,Free,Everyone,Dec 19 2015,1.0.0.457,4.0 and up,"50,000+"
Game Arcade,4.34,24408,69M,Free,Everyone,May 02 2020,0.4.8,4.1 and up,"1,000,000+"
Shopping,5.0,3,9.7M,Free,Everyone,Feb 12 2019,1.0.0,4.1 and up,100+
Dating,3.8,35,3.7M,Free,Everyone 10+,Apr 30 2020,1.2,4.1 and up,"50,000+"
Productivity,4.02,389,8.3M,Free,Everyone,Apr 23 2020,5.5.2,4.4 and up,"50,000+"
Game Card,3.99,1742,Varies with device,Free,Teen,Feb 26 2020,Varies with device,Varies with device,"100,000+"
Entertainment,3.54,318,6.0M,Free,Everyone,Dec 17 2019,1.1,4.1 and up,"100,000+"
Game Puzzle,4.4,30,12M,Free,Everyone,Jan 12 2020,1.4,5.0 and up,"10,000+"
Lifestyle,4.67,11925,Varies with device,Free,Everyone,May 11 2017,2.2,4.0 and up,"500,000+"
Entertainment,4.34,2070,Varies with device,Free,Everyone,Feb 27 2020,3.0.4,4.4 and up,"100,000+"
Family,3.3,16,33M,Free,Everyone,Aug 10 2018,1.2,4.1 and up,500+
Books And Reference,4.71,24,25M,Free,Everyone,Mar 13 2018,1,4.3 and up,"1,000+"
Game Puzzle,4.4,16708,92M,Free,Everyone,May 05 2020,7.3,4.2 and up,"1,000,000+"
Medical,4.63,115,6.7M,Free,Everyone,Jan 24 2020,2.7.54,4.4 and up,"10,000+"
Game Sports,4.4,53314,19M,Free,Everyone,Sep 04 2019,1.3,2.1 and up,"5,000,000+"
Travel And Local,4.4,17878,28M,Free,Everyone,Aug 20 2019,6.7.1,4.1 and up,"1,000,000+"
Tools,3.8,63757,20M,Free,Everyone,Mar 28 2020,2.5.5,4.4 and up,"10,000,000+"
Game Casual,4.54,704294,100M,Free,Everyone,Apr 18 2020,1.22.2,4.4 and up,"10,000,000+"
Tools,3.99,13066,Varies with device,Free,Everyone,Jan 15 2020,Varies with device,Varies with device,"10,000,000+"
Books And Reference,4.75,22411,8.3M,Free,Everyone,May 02 2017,3.1,2.3 and up,"1,000,000+"
Health And Fitness,4.59,2714,7.4M,Free,Everyone,Apr 10 2020,1.1,4.1 and up,"500,000+"
Game Role Playing,4.36,71033,Varies with device,Free,Everyone,Apr 28 2020,Varies with device,Varies with device,"1,000,000+"
Tools,4.22,9,1.5M,Free,Everyone,Feb 13 2020,1.7,5.0 and up,"1,000+"
Shopping,3.99,14326,27M,Free,Everyone,Mar 24 2020,7.6.6,4.1 and up,"500,000+"
Books And Reference,4.54,2169,Varies with device,Free,Everyone 10+,Oct 20 2019,Varies with device,Varies with device,"100,000+"
Game Role Playing,4.47,165875,87M,Free,Everyone,Aug 31 2019,1.0.9,4.1 and up,"10,000,000+"
Entertainment,4.25,15714,37M,Free,Everyone,May 05 2020,3.7.0,4.2 and up,"1,000,000+"
Finance,4.56,1393,32M,Free,Everyone,Mar 17 2020,3.6.0,4.4 and up,"100,000+"
Shopping,4.5,6200739,15M,Free,Everyone,Sep 07 2019,4.20.5,4.1 and up,"100,000,000+"
Books And Reference,4.48,486,11M,Free,Everyone,Feb 14 2020,2.1,4.0 and up,"50,000+"
Social,4.73,23800,19M,Free,Teen,Aug 01 2015,1.7,2.1 and up,"1,000,000+"
Game Racing,4.16,11967,47M,Free,Everyone,Feb 26 2020,3.9,4.0.3 and up,"1,000,000+"
Game Adventure,4.0,1,6.9M,Free,Everyone,Jun 21 2017,1,2.3 and up,100+
Game Arcade,3.43,7,75M,222.9942,Teen,Jul 27 2017,1,4.1 and up,100+
Health And Fitness,4.19,329031,13M,Free,Everyone,Mar 28 2020,4.0.a.0.26,4.4 and up,"10,000,000+"
Productivity,4.45,1075,Varies with device,Free,Everyone,Apr 12 2020,Varies with device,Varies with device,"100,000+"
Family,4.2,720685,51M,Free,Teen,Jul 26 2019,3.6.1a,4.0.3 and up,"10,000,000+"
Tools,4.4,9602,2.5M,Free,Everyone,Aug 09 2019,6.0.61.5,7.0 and up,"100,000,000+"
Game Action,4.67,9,Varies with device,Free,Everyone,Mar 11 2020,Varies with device,4.1 and up,"5,000+"
Music And Audio,5.0,1,3.4M,148.4142,Everyone,Oct 28 2019,1.1,6.0 and up,50+
Books And Reference,4.46,37,7.7M,Free,Everyone,Nov 09 2019,V3.0.1,4.0 and up,"10,000+"
Entertainment,4.16,26503,Varies with device,Free,Teen,Mar 03 2020,Varies with device,Varies with device,"1,000,000+"
Beauty,3.56,1772,23M,Free,Everyone,Jan 09 2020,1.0.0,4.0 and up,"100,000+"
Education,3.18,662,3.4M,Free,Everyone,Jan 02 2020,7.9.7,4.0 and up,"10,000+"
Game,4.4,4067651,69M,Free,Everyone 10+,Aug 10 2019,2.2.00,4.1 and up,"100,000,000+"
Education,4.57,206,10.0M,Free,Everyone,May 02 2020,6.3,4.1 and up,"10,000+"
Lifestyle,4.11,3850,3.1M,Free,Everyone,Nov 22 2019,2.0.5,4.0 and up,"1,000,000+"
Photography,4.56,7902571,35M,Free,Everyone,May 06 2020,7.01,4.1 and up,"100,000,000+"
Game Strategy,4.65,49422,91M,Free,Everyone 10+,Apr 28 2020,0.7.7,4.1 and up,"1,000,000+"
Education,3.36,66,51M,Free,Everyone,May 06 2020,2.0.8,4.2 and up,"10,000+"
Productivity,2.56,32,13M,Free,Everyone,May 06 2020,1.0.2,4.4 and up,"1,000+"
Finance,4.78,1935,5.4M,Free,Everyone,Apr 24 2020,1.14.0,4.4 and up,"100,000+"
Health And Fitness,4.6,299,11M,Free,Everyone,Sep 07 2019,1.3.8,4.4 and up,"100,000+"
Entertainment,4.77,188,17M,Free,Teen,Mar 28 2020,6,4.1 and up,"10,000+"
Weather,4.4,2423736,13M,Free,Everyone,May 04 2020,6.0.0.1,4.1 and up,"50,000,000+"
Family,3.8,283823,Varies with device,Free,Everyone 10+,Dec 28 2017,Varies with device,Varies with device,"50,000,000+"
Photography,4.4,156322,Varies with device,Free,Everyone,Mar 08 2019,Varies with device,Varies with device,"10,000,000+"
Game Action,4.56,14601,11M,521.3142,Teen,Jan 09 2020,1.0.0.18,8.0 and up,"100,000+"
Education,4.46,374,3.9M,Free,Everyone,Feb 13 2018,2.0.1,4.0 and up,"100,000+"
Game Role Playing,4.29,66123,82M,Free,Teen,Apr 25 2020,1.01.01,4.4 and up,"1,000,000+"
Maps And Navigation,3.67,6,21M,Free,Everyone,Apr 01 2020,1,4.0.3 and up,100+
Family,3.4,16,1.2M,Free,Everyone,May 05 2017,1.0,4.0.3 and up,500+
Lifestyle,3.48,603,9.9M,Free,Everyone,Mar 27 2020,2.1.6,4.4 and up,"100,000+"
Lifestyle,4.42,1481,15M,Free,Everyone,May 06 2020,0.33.5,4.1 and up,"100,000+"
Lifestyle,4.4,13565,3.3M,Free,Everyone,Sep 09 2019,2.5,4.0 and up,"1,000,000+"
Finance,4.5,159,14M,Free,Everyone,Oct 17 2018,4.2.87,4.0.3 and up,"1,000+"
Game Puzzle,4.4,857061,15M,Free,Everyone,Sep 20 2019,37,4.1 and up,"100,000,000+"
Books And Reference,4.77,13,4.7M,Free,Everyone,Feb 14 2020,1.1,4.0 and up,100+
Family,3.5,2580,53M,Free,Everyone,Aug 10 2019,10,4.1 and up,"100,000+"
Entertainment,4.25,868,7.7M,Free,Everyone,Apr 20 2020,V 4.42.1,4.0 and up,"100,000+"
Maps And Navigation,4.22,1913,7.2M,Free,Everyone,May 07 2020,2.4.4,4.4 and up,"100,000+"
Education,4.75,8,35M,Free,Everyone,Nov 29 2018,1,4.0 and up,"1,000+"
Sports,5.0,2,16M,Free,Everyone,Nov 12 2019,2018.10.04,5.0 and up,500+
Entertainment,4.01,8234,62M,Free,Teen,Jan 16 2020,2.3.10.71,5.0 and up,"500,000+"
Game Word,4.17,1103659,37M,Free,Everyone,Apr 29 2020,2.400.040,4.4 and up,"50,000,000+"
Game Racing,4.19,554561,53M,Free,Everyone,Mar 20 2018,2.1,4.0 and up,"10,000,000+"
Tools,4.47,2199,8.6M,Free,Everyone,Mar 21 2020,1.2.6,4.0 and up,"100,000+"
Sports,4.0,176450,10M,Free,Everyone,Dec 26 2018,5.3.0,4.4 and up,"5,000,000+"
Finance,3.81,24414,21M,Free,Everyone,Apr 24 2020,3.41.24,4.1 and up,"1,000,000+"
Business,3.82,176,13M,Free,Everyone,Apr 29 2020,9.7.0,4.1 and up,"10,000+"
Game Card,4.73,326,65M,Free,Teen,Apr 25 2020,0.1.3,5.0 and up,"10,000+"
Productivity,4.7,17955,3.8M,Free,Everyone,Jun 27 2019,1.7.9,4.0.3 and up,"1,000,000+"
Education,4.02,1267,79M,Free,Everyone,Apr 04 2020,3.4.0,4.3 and up,"100,000+"
Entertainment,4.64,6594,34M,Free,Everyone,May 06 2020,1.9.5,4.3 and up,"100,000+"
Sports,4.4,15221,30M,Free,Everyone,Nov 06 2018,7.30.005,4.0.3 and up,"1,000,000+"
Education,4.07,139,78M,Free,Everyone,Apr 12 2020,2.42,4.0.3 and up,"50,000+"
Food And Drink,3.39,1812,21M,Free,Everyone,Mar 24 2020,2.1.6,4.1 and up,"50,000+"
Health And Fitness,3.93,132,2.5M,Free,Everyone,Nov 08 2019,1,4.1 and up,"10,000+"
Entertainment,4.68,633,62M,Free,Mature 17+,Dec 11 2019,1417,4.4 and up,"10,000+"
Maps And Navigation,4.69,494,5.4M,Free,Everyone,Mar 24 2020,5.0.2,6.0 and up,"5,000+"
Entertainment,4.32,5131,28M,Free,Everyone,Mar 02 2020,1.6,4.0 and up,"1,000,000+"
Game Trivia,4.38,11114,Varies with device,Free,Everyone,May 04 2020,2.8,4.1 and up,"1,000,000+"
Tools,4.25,41005,12M,Free,Everyone,Jan 15 2017,1.9.2,4.0 and up,"5,000,000+"
House And Home,4.6,1984,2.2M,Free,Everyone,Mar 06 2020,1.21,4.4 and up,"500,000+"
Game Role Playing,4.69,739682,85M,Free,Everyone 10+,Apr 07 2020,2.91.284,5.0 and up,"5,000,000+"
Entertainment,3.77,207,24M,Free,Teen,Jul 15 2017,4.0.7,2.3 and up,"10,000+"
Events,4.36,287,8.4M,Free,Everyone,Dec 11 2019,1.5.1,4.4 and up,"10,000+"
Game Role Playing,4.36,458567,33M,Free,Everyone 10+,Jan 19 2019,2.1.94,2.3 and up,"10,000,000+"
Auto And Vehicles,3.9,22,97M,Free,Everyone,Mar 07 2019,1.0,4.0 and up,"1,000+"
Game Simulation,4.49,421680,24M,Free,Mature 17+,Dec 31 2019,2.1,2.3 and up,"10,000,000+"
Shopping,4.2,470,4.1M,222.9942,Everyone,Aug 21 2019,1.3.7,4.1 and up,"10,000+"
Education,4.64,178,5.5M,Free,Everyone,Mar 08 2020,1.8,4.2 and up,"10,000+"
Entertainment,3.95,797,2.3M,Free,Everyone,May 18 2018,2.1,2.3 and up,"100,000+"
Travel And Local,4.05,35143,7.9M,Free,Everyone,Apr 26 2020,4.6,4.0 and up,"5,000,000+"
House And Home,4.46,6319,13M,Free,Everyone,Apr 29 2020,3.0.3,4.4 and up,"100,000+"
Game Role Playing,4.7,90569,51M,Free,Everyone,Apr 10 2020,1.41,4.0.3 and up,"1,000,000+"
Travel And Local,4.1,5150,Varies with device,Free,Everyone,Jul 03 2019,Varies with device,Varies with device,"500,000+"
Education,4.63,239,21M,Free,Everyone,Feb 18 2020,3.3,4.0.3 and up,"10,000+"
Game Card,4.71,469554,54M,Free,Teen,Apr 16 2020,12.5.0,4.0.3 and up,"10,000,000+"
Productivity,4.31,15419,11M,Free,Everyone,Apr 10 2020,2.0.8,4.0 and up,"100,000+"
Education,4.77,2623,9.8M,222.9942,Everyone,May 06 2020,2.03.61 pro,4.1 and up,"10,000+"
Entertainment,4.4,2925,11M,Free,Everyone,Apr 19 2020,4.06,4.4 and up,"100,000+"
Finance,4.53,283,13M,Free,Everyone,Apr 07 2020,2.0.9b2407,4.2 and up,"10,000+"
Music And Audio,3.4,135,2.4M,Free,Everyone,Dec 22 2019,1.0.5,4.0.3 and up,"50,000+"
Game Arcade,4.46,6556,15M,185.70420000000001,Everyone,Aug 10 2019,Varies with device,Varies with device,"100,000+"
Libraries And Demo,4.28,342530,7.5M,Free,Everyone,May 05 2020,1.10.50,4.0 and up,"10,000,000+"
Auto And Vehicles,3.85,34,16M,Free,Everyone,Mar 27 2020,2.0.28,5.0 and up,"10,000+"
Finance,4.54,28,17M,Free,Everyone,Apr 24 2020,V3.3.0 (2ab418d-master.463),5.0 and up,"5,000+"
Personalization,4.84,19,4.2M,Free,Everyone,Sep 14 2019,1.0.1,4.0 and up,"5,000+"
Beauty,4.1,66,2.9M,Free,Everyone,May 10 2019,3.1.89,4.0.3 and up,"10,000+"
Photography,4.1,100179,96M,Free,Everyone,Jun 21 2019,2.52,4.0.3 and up,"10,000,000+"
Art And Design,3.8,2206,1.2M,Free,Everyone,May 20 2019,1.46,4.1 and up,"100,000+"
Weather,4.4,3405,43M,Free,Everyone,May 01 2020,15.1.0.46090_46140,4.1 and up,"500,000+"
Tools,4.48,45505,4.1M,Free,Everyone,May 02 2020,2.0.82,5.0 and up,"1,000,000+"
Game Casual,4.01,483031,56M,Free,Everyone,Jul 18 2019,2.1.1,4.0.3 and up,"50,000,000+"
Game Sports,4.45,52662,16M,Free,Everyone,Oct 18 2018,1.6.3,4.0.3 and up,"1,000,000+"
Game Puzzle,4.42,1136,26M,Free,Everyone,Apr 12 2019,1.3,4.0 and up,"100,000+"
Tools,4.3,81668,Varies with device,Free,Everyone,Jan 30 2018,Varies with device,Varies with device,"5,000,000+"
Lifestyle,3.81,16564,22M,Free,Everyone,Apr 03 2020,8.0.2,4.4 and up,"1,000,000+"
Game Action,5.0,1,29M,Free,Everyone,Mar 15 2020,1.2.1,4.1 and up,50+
Communication,4.81,1489,8.9M,Free,Teen,Apr 06 2020,3,4.0.3 and up,"50,000+"
Finance,4.61,893,2.4M,Free,Everyone,May 07 2020,1.5.4,4.0 and up,"50,000+"
Tools,5.0,2,920k,Free,Everyone,Aug 25 2018,1,4.0.3 and up,500+
Social,4.7,2068,7.5M,Free,Everyone,May 18 2015,1.0,2.2 and up,"100,000+"
Tools,4.2,167,12M,Free,Everyone,Mar 19 2020,4.6.0.4518,4.1 and up,"10,000+"
News And Magazines,3.66,1650,Varies with device,Free,Everyone,Apr 03 2020,Varies with device,Varies with device,"50,000+"
Tools,4.37,29032,7.2M,Free,Everyone,Mar 19 2020,3.2.0,4.0 and up,"5,000,000+"
Education,4.03,6956,48M,Free,Everyone,Jun 16 2018,3,4.2 and up,"500,000+"
Music And Audio,4.5,4576,17M,Free,Everyone,Nov 01 2019,1.1,4.0.3 and up,"1,000,000+"
Game Board,3.35,1586,25M,Free,Everyone 10+,Feb 25 2020,1.5.0,Varies with device,"100,000+"
Books And Reference,4.36,630,15M,Free,Everyone,Nov 20 2019,11.0.0,4.1 and up,"100,000+"
Health And Fitness,4.62,5671,59M,Free,Everyone,May 07 2020,1.0.10,4.1 and up,"1,000,000+"
Education,5.0,1,4.2M,Free,Everyone,Apr 29 2020,3.0.15,4.4 and up,100+
Game Puzzle,4.24,22356,47M,Free,Teen,Aug 23 2019,2.6.4,4.1 and up,"1,000,000+"
Entertainment,4.44,915,8.3M,Free,Everyone,Apr 17 2020,2.0.0,4.0.3 and up,"100,000+"
Tools,3.6,3753,2.9M,Free,Everyone,May 05 2020,9,4.0.3 and up,"1,000,000+"
Communication,4.51,18876,35M,Free,Everyone,May 07 2020,3.2.04,4.2 and up,"1,000,000+"
Game,4.2,5442,17M,Free,Teen,Jun 26 2019,4.1.3,2.3 and up,"100,000+"
Productivity,4.49,1656,2.4M,Free,Everyone,Feb 22 2020,2.5.3,4.1 and up,"10,000+"
Libraries And Demo,4.19,24215,860k,Free,Everyone,Dec 03 2015,1,4.0 and up,"1,000,000+"
Personalization,4.82,93,13M,Free,Mature 17+,Apr 01 2020,1.6,4.0.3 and up,"10,000+"
Education,4.69,2004,2.1M,Free,Everyone,Dec 05 2019,5.1.17,4.1 and up,"100,000+"
Finance,3.8,1953,19M,Free,Everyone,Mar 13 2020,2,4.0 and up,"100,000+"
Game,3.9,178723,65M,Free,Everyone,Jan 29 2018,4.1,2.3.3 and up,"10,000,000+"
Sports,4.2,6,1.3M,225.2316,Everyone,Jan 31 2019,2.0.5,3.0 and up,100+
Communication,4.2,5599,1.3M,216.28199999999998,Everyone,Aug 06 2019,6.2.7,1.6 and up,"100,000+"
Business,4.3,758590,12M,Free,Everyone,Sep 06 2019,Varies with device,4.1 and up,"100,000,000+"
Game,4.2,131,23M,120.0738,Everyone,Mar 30 2017,1.6.3,2.3.3 and up,"1,000+"
Tools,3.6,3632,3.2M,Free,Everyone,Dec 18 2018,11;11.26,4.0.3 and up,"1,000,000+"
Food And Drink,4.8,1628,17M,Free,Everyone,Mar 25 2020,9,4.1 and up,"100,000+"
Entertainment,4.22,2705,24M,Free,Everyone,Mar 12 2020,1.0.1,2.3 and up,"1,000,000+"
Tools,4.33,7804,2.3M,Free,Everyone,May 06 2020,1.0.01,4.0 and up,"1,000,000+"
Entertainment,2.19,13071,Varies with device,Free,Everyone,Apr 01 2020,Varies with device,Varies with device,"1,000,000+"
Lifestyle,4.48,671,3.5M,Free,Everyone,Oct 07 2019,2.1,4.1 and up,"10,000+"
Tools,3.9,84,24M,Free,Everyone,Jan 18 2019,2.18,4.0.3 and up,"10,000+"
Finance,4.17,3032,Varies with device,Free,Everyone,May 02 2020,Varies with device,Varies with device,"500,000+"
Personalization,4.3,444,12M,73.8342,Everyone,Dec 23 2014,1.95,2.1 and up,"10,000+"
Music And Audio,4.54,42607,19M,Free,Everyone,Mar 21 2020,4.0.3,4.4 and up,"5,000,000+"
Game Arcade,4.43,573,18M,148.4142,Everyone 10+,Dec 28 2016,1.3,4.0 and up,"10,000+"
Medical,4.45,462,59M,185.70420000000001,Everyone,Sep 13 2019,3.0.0,4.1 and up,"10,000+"
Game Board,4.23,368,83M,260.2842,Everyone,Oct 31 2019,13,4.1 and up,"5,000+"
Lifestyle,4.42,653,59M,Free,Everyone,Mar 25 2020,2.1.3,4.4 and up,"10,000+"
Tools,4.33,1621,1.9M,Free,Everyone,Nov 11 2019,1.5,4.0.3 and up,"100,000+"
Education,4.19,600,12M,Free,Teen,Oct 25 2019,2.71.5,4.4 and up,"100,000+"
Finance,3.91,7882,16M,Free,Everyone,Apr 01 2020,6.2.2,4.4 and up,"100,000+"
Communication,4.44,10687,71M,Free,Everyone,Apr 06 2020,2.17.1,4.1 and up,"500,000+"
Travel And Local,3.75,7088,Varies with device,Free,Everyone,Apr 14 2020,Varies with device,Varies with device,"1,000,000+"
Sports,4.49,185,12M,Free,Everyone,Oct 23 2019,1.2.6,5.0 and up,"5,000+"
Personalization,4.11,35776,2.9M,Free,Everyone,Oct 25 2019,5,4.1 and up,"5,000,000+"
Business,4.5,176,19M,Free,Everyone,Nov 29 2017,2.0,5.0 and up,"10,000+"
Dating,4.07,833,28M,Free,Mature 17+,Apr 04 2020,6.1.1,4.2 and up,"100,000+"
Game Role Playing,4.45,1096390,87M,Free,Teen,May 05 2020,1.1.212,4.0 and up,"10,000,000+"
Game Casino,4.68,6727,55M,Free,Teen,May 07 2020,3.2.0,4.1 and up,"100,000+"
Photography,4.5,38953,9.7M,Free,Everyone,Aug 30 2019,2.2.4,4.2 and up,"5,000,000+"
Maps And Navigation,4.1,776,7.5M,Free,Everyone,Jan 19 2020,1.5.2,4.4 and up,"100,000+"
Lifestyle,3.69,98,14M,Free,Everyone,Apr 21 2020,2.5.3,4.4 and up,"10,000+"
Lifestyle,4.67,52,7.7M,Free,Everyone,Dec 17 2019,2.1,4.0.3 and up,"10,000+"
Business,4.12,330,15M,Free,Everyone,Apr 01 2020,3.1.12.0,4.0.3 and up,"50,000+"
Tools,4.15,20844,402k,Free,Everyone,Oct 08 2015,0.7,4.3 and up,"1,000,000+"
Game Racing,3.87,218276,18M,Free,Everyone,Oct 20 2019,1.2.31,4.0.3 and up,"10,000,000+"
News And Magazines,4.7,143,26M,73.8342,Mature 17+,Aug 30 2019,4.1.10,4.1 and up,"5,000+"
Lifestyle,4.63,47075,40M,Free,Everyone,May 28 2019,2.1.3,4.0.3 and up,"500,000+"
Lifestyle,4.43,1818,31M,Free,Everyone,Feb 27 2020,4.4.0,4.2 and up,"1,000,000+"
Events,5.0,1,35M,Free,Everyone,Apr 02 2020,5.42,6.0 and up,100+
Art And Design,4.49,1090,34M,Free,Everyone,Apr 25 2020,1.2,4.0 and up,"100,000+"
Game Arcade,4.28,9162,Varies with device,222.9942,Everyone,Mar 12 2019,2.0.3,2.3.3 and up,"100,000+"
Family,4.6,41,9.2M,Free,Everyone,Aug 11 2018,5.1,2.3 and up,"1,000+"
Game Puzzle,4.7,11112,30M,Free,Everyone,Jan 18 2020,1.3.0,4.1 and up,"100,000+"
Communication,5.0,1,23M,Free,Everyone,Oct 09 2019,6.3.130673.0823,4.0 and up,100+
Lifestyle,4.62,134,3.9M,Free,Teen,Jan 08 2020,3.8,4.1 and up,"10,000+"
Maps And Navigation,3.92,1663,6.6M,Free,Everyone,Mar 29 2020,2.2.8,4.2 and up,"100,000+"
Food And Drink,4.6,103468,17M,Free,Everyone,May 02 2020,10.13.1.2500,5.0 and up,"5,000,000+"
Lifestyle,4.64,5675,31M,Free,Everyone,Mar 27 2020,2.0.264,5.0 and up,"100,000+"
Game Word,4.48,2219,50M,Free,Everyone,May 02 2020,1.2.3,4.1 and up,"10,000+"
Tools,4.52,15837,1.3M,Free,Everyone,Apr 02 2019,1,2.1 and up,"1,000,000+"
Personalization,4.3,647721,Varies with device,Free,Everyone,Aug 28 2019,Varies with device,Varies with device,"10,000,000+"
Books And Reference,4.64,1126,13M,Free,Everyone,May 03 2020,3.4.3,4.1 and up,"50,000+"
Productivity,4.64,2957,2.4M,Free,Everyone,Sep 30 2019,1.0.2,4.2 and up,"500,000+"
Education,4.58,3323,72M,Free,Everyone,Dec 13 2019,1.6.4,4.0.3 and up,"50,000+"
Productivity,4.9,42,38M,Free,Everyone,Jun 30 2019,1.4,4.0 and up,"1,000+"
Game Board,3.82,102,24M,Free,Everyone,Nov 26 2018,1.1.0,4.1 and up,"10,000+"
Libraries And Demo,4.4,63,417k,Free,Everyone,Mar 12 2018,2.3.2,1.6 and up,"5,000+"
Education,4.42,391,3.0M,Free,Everyone,Dec 17 2019,2.5,4.1 and up,"10,000+"
Food And Drink,4.0,1077,17M,Free,Everyone,Nov 22 2018,3.2.0,4.0.3 and up,"100,000+"
News And Magazines,4.38,1045,7.7M,Free,Everyone 10+,Apr 18 2020,1.8,4.4 and up,"10,000+"
Personalization,4.48,461,3.7M,Free,Everyone,Mar 25 2020,1,4.1 and up,"100,000+"
Game,4.7,990586,75M,Free,Everyone,Jun 28 2019,1.0.27,4.1 and up,"10,000,000+"
Health And Fitness,3.99,5480,1.9M,Free,Everyone,Dec 04 2019,1.0.8,4.4 and up,"1,000,000+"
Tools,4.11,5965,Varies with device,185.70420000000001,Everyone,Oct 10 2017,Varies with device,Varies with device,"50,000+"
Books And Reference,4.18,80,3.7M,Free,Teen,Apr 05 2020,0.2.0,4.0 and up,"10,000+"
Food And Drink,3.22,59,62M,Free,Everyone,Feb 25 2020,2.0.10,4.3 and up,"10,000+"
Entertainment,4.3,828,Varies with device,Free,Everyone,Jan 06 2020,Varies with device,Varies with device,"100,000+"
Education,4.51,1493,5.7M,Free,Everyone,Jan 14 2020,1.27,4.1 and up,"100,000+"
House And Home,3.65,31,39M,Free,Everyone,Apr 19 2020,1.0.5,5.0 and up,"5,000+"
Education,5.0,6,2.4M,409.4442,Everyone,Dec 05 2019,1.1,4.1 and up,100+
Health And Fitness,4.8,31139,6.9M,Free,Everyone,Aug 28 2019,1.0.11,4.1 and up,"1,000,000+"
Game Role Playing,4.6,281191,84M,Free,Everyone 10+,Jan 23 2020,2.9.2,4.1 and up,"5,000,000+"
Medical,3.0,2,79M,5592.754199999999,Everyone,Mar 19 2020,1.0.38,4.1 and up,10+
Tools,4.3,940,387k,Free,Everyone,Sep 28 2018,2.0.7,4.0 and up,"100,000+"
Game Arcade,3.86,35,10M,Free,Everyone,Feb 08 2020,1.0.3,4.0 and up,"10,000+"
Books And Reference,3.73,66,7.1M,Free,Everyone,Aug 09 2016,1.1,4.0 and up,"1,000+"
Game Casino,4.49,697653,91M,Free,Teen,Apr 16 2020,5006.02,4.1 and up,"10,000,000+"
Books And Reference,4.71,21,24M,297.5742,Everyone,Oct 26 2018,2.02,4.0.3 and up,"1,000+"
Productivity,4.23,292020,Varies with device,Free,Everyone,May 05 2020,Varies with device,Varies with device,"100,000,000+"
Travel And Local,4.21,2407,21M,Free,Everyone,May 06 2020,3.7.0,4.1 and up,"100,000+"
Social,4.39,462,4.3M,Free,Everyone,May 02 2020,1.6,4.0.3 and up,"50,000+"
Game Arcade,3.67,64,95M,372.1542,Everyone,Aug 14 2019,1.2.0,2.3 and up,"1,000+"
Tools,4.7,4783,4.2M,Free,Everyone,Dec 09 2019,1.7.1,4.0 and up,"500,000+"
Business,4.3,6408,15M,Free,Everyone,May 06 2020,8.10.0,5.0 and up,"1,000,000+"
Music And Audio,4.29,7,4.9M,Free,Everyone,Oct 17 2019,1.0.4,4.1 and up,500+
Video Players,4.06,11892,54M,Free,Everyone,Mar 06 2020,0.5.18,4.0.3 and up,"1,000,000+"
Education,4.62,16335,25M,Free,Everyone,Oct 24 2019,2,4.0 and up,"1,000,000+"
Health And Fitness,4.27,71,8.9M,Free,Everyone,Mar 06 2020,1.3,4.0.3 and up,"100,000+"
Maps And Navigation,4.1,54034,5.8M,Free,Teen,Jul 04 2019,2.1.15,4.0 and up,"5,000,000+"
Tools,4.0,9,33M,Free,Everyone,Jul 02 2019,3.0.1,4.0 and up,"1,000+"
Game Puzzle,4.34,1330170,11M,Free,Everyone,Jan 22 2020,4.2,4.1 and up,"100,000,000+"
Game Arcade,4.17,6620,17M,Free,Everyone,Jan 03 2020,1.2,4.0.3 and up,"500,000+"
News And Magazines,3.5,1422,Varies with device,Free,Everyone,May 07 2020,Varies with device,Varies with device,"100,000+"
Books And Reference,4.78,80,15M,Free,Everyone,Jan 08 2020,10,2.3.3 and up,"10,000+"
Entertainment,4.2,100,6.1M,Free,Everyone,May 01 2020,1.4,4.0.3 and up,"10,000+"
Game Casino,4.61,37892,58M,Free,Teen,Sep 03 2019,3.4.2,4.0.3 and up,"1,000,000+"
Lifestyle,4.3,10075,8.2M,Free,Everyone,Apr 23 2020,1.6.24,4.1 and up,"100,000+"
Game Puzzle,4.5,673,3.4M,Free,Everyone,Feb 06 2020,1.1.6,4.1 and up,"50,000+"
Game Card,4.15,3851,28M,Free,Everyone,Mar 16 2020,3.15,4.1 and up,"100,000+"
Productivity,4.3,183,4.3M,Free,Everyone,May 06 2020,1.19,4.0 and up,"10,000+"
News And Magazines,3.45,78,9.6M,Free,Everyone,May 06 2020,2.0.8,5.0 and up,"10,000+"
Food And Drink,3.53,465,51M,Free,Everyone,Mar 20 2020,2.3.5.325,5.0 and up,"100,000+"
